time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
50.10000261,0.01028870,0.00842339,-nan,181.00000000,0.01028870,0.000000,0.000000
50.11666928,0.00838852,0.00514585,-nan,2042.00000000,0.00648834,0.000000,0.000000
50.13333595,0.00703097,0.00312850,-nan,4935.00000000,0.00431587,0.000000,0.000000
50.15000262,0.00620463,0.00263017,-nan,6759.00000000,0.00372558,0.000000,0.000000
50.16666928,0.00668879,0.00529678,-nan,8662.00000000,0.00862547,0.000000,0.000000
50.18333595,0.00643268,0.00266873,-nan,10463.00000000,0.00515213,0.000000,0.000000
50.20000262,0.00603676,0.00244919,-nan,12302.00000000,0.00366120,0.000000,0.000000
50.21666929,0.00596328,0.00428323,-nan,13603.00000000,0.00544893,0.000000,0.000000
50.23333595,0.00581488,0.00344988,-nan,15130.00000000,0.00462764,0.000000,0.000000
50.25000262,0.00563585,0.00289837,-nan,16170.00000000,0.00402465,0.000000,0.000000
50.26666929,0.00629210,0.00601096,-nan,17032.00000000,0.01285458,0.000000,0.000000
50.28333596,0.00635517,0.00454265,-nan,17941.00000000,0.00704894,0.000000,0.000000
50.30000262,0.00615243,0.00254122,-nan,17442.00000000,0.00371950,0.000000,0.000000
50.31666929,0.00606514,0.00364051,-nan,17356.00000000,0.00493039,0.000000,0.000000
50.33333596,0.00589725,0.00227205,-nan,16586.00000000,0.00354679,0.000000,0.000000
50.35000263,0.00573419,0.00215705,-nan,17217.00000000,0.00328825,0.000000,0.000000
50.36666929,0.00568098,0.00162467,-nan,16237.00000000,0.00482976,0.000000,0.000000
50.38333596,0.00560094,0.00180043,-nan,16709.00000000,0.00424012,0.000000,0.000000
50.40000263,0.00546707,0.00186719,-nan,17253.00000000,0.00305746,0.000000,0.000000
50.41666930,0.00539833,0.00285960,-nan,17815.00000000,0.00409226,0.000000,0.000000
50.43333596,0.00529404,0.00209891,-nan,18083.00000000,0.00320834,0.000000,0.000000
50.45000263,0.00522009,0.00250840,-nan,18193.00000000,0.00366699,0.000000,0.000000
50.46666930,0.00527378,0.00188375,-nan,18397.00000000,0.00645514,0.000000,0.000000
50.48333597,0.00523906,0.00192015,-nan,18585.00000000,0.00444045,0.000000,0.000000
50.50000263,0.00516906,0.00218039,-nan,18706.00000000,0.00348913,0.000000,0.000000
50.51666930,0.00513718,0.00306741,-nan,18889.00000000,0.00434008,0.000000,0.000000
50.53333597,0.00506426,0.00192323,-nan,18905.00000000,0.00316840,0.000000,0.000000
50.55000264,0.00498453,0.00171553,-nan,18969.00000000,0.00283186,0.000000,0.000000
50.56666930,0.00503770,0.00126452,0.00000163,19132.00000000,0.00652640,0.000000,0.000000
50.58333597,0.00506624,0.00103315,0.00000164,19159.00000000,0.00589389,0.000000,0.000000
50.60000264,0.00511666,0.00171470,0.00000172,19078.00000000,0.00662928,0.000000,0.000000
50.61666931,0.00521730,0.00254007,0.00000163,19200.00000000,0.00833699,0.000000,0.000000
50.63333597,0.00524613,0.00224006,0.00000173,19813.00000000,0.00616883,0.000000,0.000000
50.65000264,0.00528456,0.00263882,0.00000169,20764.00000000,0.00655275,0.000000,0.000000
50.66666931,0.00552809,0.00289044,0.00000367,21750.00000000,0.01380796,0.000000,0.000000
50.68333598,0.00577736,0.00384240,0.00000344,22695.00000000,0.01450200,0.000000,0.000000
50.70000264,0.00591742,0.00401870,0.00000255,24029.00000000,0.01095961,0.000000,0.000000
50.71666931,0.00618557,0.00524040,0.00000320,25178.00000000,0.01610701,0.000000,0.000000
50.73333598,0.00639031,0.00356352,0.00000460,27301.00000000,0.01417041,0.000000,0.000000
50.75000265,0.00647291,0.00141242,0.00000404,28979.00000000,0.00969437,0.000000,0.000000
50.76666931,0.00656196,0.00287257,0.00000329,30711.00000000,0.01012372,0.000000,0.000000
50.78333598,0.00674178,0.00328850,0.00000494,32328.00000000,0.01411440,0.000000,0.000000
50.80000265,0.00710332,0.01352330,0.00000454,34072.00000000,0.02228803,0.000000,0.000000
50.81666932,0.00734491,0.00889955,0.00000324,33738.00000000,0.01773334,0.000000,0.000000
